,ID,segment_id,pois_type,type_ID,dir,dist_along_segment,ID.1,demand_0,tc_0,demand_1,tc_1,projected_points
205,205,32.0,ra,104.0,2,2270.2129,205,4.949064122,218.0,0.0,0.0,POINT (580892.3364291979 504221.60771446704)
206,206,32.0,link,16.0,2,35413.569,206,72.25251629800002,218.0,0.0,0.0,POINT (611103.7491858669 502111.93648906954)
207,207,33.0,link,14.0,2,0.0,207,0.0,3707.0,1.1255937,44.0,POINT (595872.6537 476198.3655)
208,208,33.0,od,47.0,2,2558.1675,208,94.831269225,3707.0,0.0,0.0,POINT (597931.8423393861 476916.18632993655)
209,209,33.0,link,,2,22213.6118,209,1373.325893241,6987.0,0.0,0.0,POINT (615468.4411 482218.5792)
210,210,34.0,link,14.0,2,0.0,210,0.0,8.0,0.0,0.0,POINT (595872.6537 476198.3655)
211,211,34.0,ra,112.0,2,14615.9886,211,1.169279088,8.0,0.0,0.0,POINT (603538.9837838783 466957.08989902167)
212,212,34.0,ra,120.0,0,26934.1492,212,0.985452848,8.0,0.0,0.0,POINT (613742.6112356755 467615.2752728114)
213,213,34.0,od,49.0,2,32359.2641,213,0.4340091920000001,8.0,0.0,0.0,POINT (617518.2763035541 471181.3568931859)
214,214,34.0,link,20.0,2,38220.8595,214,0.4689276319999999,8.0,0.0,0.0,POINT (622624.511 473136.7616)
215,215,35.0,link,,2,0.0,215,0.0,0.0,0.0,0.0,POINT (600290.2192 532218.8785)
216,216,35.0,link,16.0,2,35104.463,216,0.0,0.0,0.0,0.0,POINT (611103.7492 502111.9365)
217,217,36.0,link,15.0,2,0.0,217,0.0,0.0,0.0,0.0,POINT (609820.2057 427385.1048)
218,218,36.0,ra,121.0,0,5978.4063,218,0.0,0.0,0.0,0.0,POINT (614013.2341724553 431555.29393757787)
219,219,36.0,ra,122.0,1,6884.7641,219,0.0,0.0,0.0,0.0,POINT (614593.7540761257 432247.9695182297)
220,220,36.0,link,17.0,2,10780.415,220,0.0,0.0,0.0,0.0,POINT (615114.9379 436015.9319)
221,221,37.0,link,16.0,2,0.0,221,0.0,218.0,44.60968858500001,451.0,POINT (611103.7492 502111.9365)
222,222,37.0,ra,117.0,0,1531.6016,222,3.338891488,218.0,0.0,0.0,POINT (612604.2151286014 501918.9998978621)
223,223,37.0,link,18.0,2,9891.2835,223,18.224106542,218.0,0.0,451.0,POINT (620405.6174681843 499830.42783109867)
224,224,38.0,link,17.0,2,0.0,224,0.0,6317.0,159.305246382,2958.0,POINT (615114.9379 436015.9319)
225,225,38.0,ra,118.0,1,5385.5729,225,0.0,0.0,262.437939654,2958.0,POINT (613259.455893957 441037.60409018287)
